Name;Owner;PassengerCapacity;CargoCapacity;MaxSpeed
Norwegian Joy;Norwegian Cruise Line;0
Norwegian Pearl;Norwegian Cruise Line;1154
Norwegian Prima;Norwegian Cruise Line;4721
Norwegian Sky;Norwegian Cruise Line;950
Norwegian Spirit;Norwegian Cruise Line;882
Norwegian Star;Norwegian Cruise Line;1095
Norwegian Sun;Norwegian Cruise Line;946
Norwegian Viva;Norwegian Cruise Line;4603
Ocean Atlantic;;0
Ocean Countess;;320
Ocean Diamond;FleetPro Passenger Ship Management;120
Ocean Dream;Ocean Dream Cruise (Thailand);390
Ocean Endeavour;Kristina Cruises;100
Ocean Majesty;Majesty International Cruises;235
Ocean Mist;Indian Ocean Cruises;132
Ocean Nova;Supernova Expeditions Ltd.;38
Ocean Star Pacific;Ocean Star Cruises;388
Ocean Life;Hellenic Seaways;79
Ocean Victory;American Queen Voya;100
Odyssey of the Seas;Royal Caribbean International;1551
Ola Esmeralda;Ola Cruises, Venezuela;210
Oosterdam;Holland-America Line;817
Ortelius;Oceanwide Expeditions;49
Otto Sverdrup;Hurtigruten AS;85
Ovation of the Seas;Royal Caribbean International;1500
Pacific;Quail Cruises;358
Pacific Encounter;P&O Cruises Australia;1200
Pacific Explorer;P&O Australia;900
Paul Gauguin;Paul Gauguin Cruises;216
Pearl Seaways;DFDS Seaways;0
Piano Land;Astro Ocean;760
Plancius;Oceanwide Expeditions;49
Polar Star;Karlsen Shipping;40
Polaris[4];Murmansk Shipping;36
Polarlys;Hurtigruten AS;78
Porto;Portuscale Cruises;150
Pride of America;Norwegian Cruise Line America;900
Princesa Marissa;Louis Cruises;0
Princesa Victoria;Louis Cruises;0
Princess Daphne;Classic International Cruises;240
Prinzessin Victoria Luise;HAPAG;0
Professor Molchanov;Oceanwide Expeditions;20
Professor Multanovskiy;Oceanwide Expeditions;20
Qing;Sahara India Tourism Development Corporation;535
Quantum of the Seas;Royal Caribbean International;1550
Queen Elizabeth;Cunard Line;1000
Queen Elizabeth 2;Cunard Line;1015
Queen of the Oceans;Seajets;850
Queen Victoria;Cunard Line;1000
Quest;Quest Owner Ltd.;19
Radiance of the Seas;Royal Caribbean International;858
Regal Princess;Princess Cruises;1346
Regatta;Oceania Cruises;386
Renaissance;Compagnie Française de Croisières;580
Resorts World One;Resorts World Cruises;1300
Rhapsody of the Seas;Royal Caribbean International;765
Richard With;Hurtigruten ASA;63
Roald Amundsen;Hurtigruten AS;0
Robert Ley;HAPAG;435
Rossiya;Atomflot;0
Royal Clipper;Star Clippers;106
Royal Pacific;Sophlex Ship Managers;0
Royal Princess;Princess Cruises;1345
Ruby Princess;Princess Cruises;1225
Running on Waves;;22
Saga Pearl II;Saga Cruises;220
Saga Rose;Saga Cruises;350
Saga Ruby;Saga Cruises;380
Salamis Filoxenia;Mana Shipping Company;0
Salamis Glory;;0
Sapphire;Louis Cruises;250
Sapphire Princess;Princess Cruises;1100
Scarlet Lady;Virgin Voyages;0
Scenic Eclipse;Scenic;0
Seabourn Encore;Seabourn Cruise Line;0
Seabourn Odyssey;Seabourn Cruise Line;330
Seabourn Ovation;Seabourn Cruise Line;0
Seabourn Sojourn;Seabourn Cruise Line;330
Seabourn Quest;Seabourn Cruise Line;330
Seabourn Pursuit;Seabourn Cruise Line;264
Seabourn Venture;Seabourn Cruise Line;394
SeaBreeze I;Premier Cruise Line;400
Sea Cloud;Hansa Shipping;60
Sea Cloud II;Hansa Shipping;58
Sea Cloud Spirit;Sea Cloud Cruises;85
Sea Diamond;Louis Cruises;391
SeaDream I;SeaDream Yacht Club;93
SeaDream II;SeaDream Yacht Club;93
Sea Princess;Princess Cruises;900
Seaventure;Scylla (VIVA Cruises);100
Serenade of the Seas;Royal Caribbean International;858
Serenissima;Premier Cruises;48
Seven Seas Explorer;Regent Seven Seas Cruises;650
Seven Seas Mariner;Regent Seven Seas Cruises;445
Seven Seas Navigator;Regent Seven Seas Cruises;325
Seven Seas Splendor;Regent Seven Seas Cruises;0
Seven Seas Voyager;Regent Seven Seas Cruises;447
SH Minerva;Swan Hellenic;0
SH Vega;Swan Hellenic;0
SH Diana;Swan Hellenic;0
Silver Cloud;Silversea Cruises;210
Silver Discoverer;Silversea Cruises;96
Silver Endeavour;Silversea Cruises;400
Silver Moon;Silversea Cruises;0
Silver Muse;Silversea Cruises;411
Silver Origin;Silversea Cruises;0
Silver Nova;Silversea Cruises;0
Silver Shadow;Silversea Cruises;295
Silver Spirit;Silversea Cruises;378
Silver Whisper;Silversea Cruises;295
Silver Wind;Silversea Cruises;210
Sirena;Oceania Cruises;373
Sky Princess;Princess Cruises;0
Sovereign of the Seas;Pullmantur Cruises;827
Spectrum of the Seas;Royal Caribbean International;1551
Spirit of Oceanus;Cruise West;64
Spirit of Adventure;Saga Cruises;540
Spirit of Discovery;Saga Cruises;540
Star Breeze;Windstar Cruises;150
Star Clipper;Star Clippers;74
Star Flyer;Star Clippers;74
Star Legend;Windstar Cruises;160
Star Pisces;Star Cruises;0
Star Pride;Windstar Cruises;160
Statendam;Holland-America Line;474
Charming;Princess Cruises;900
Sun Viking;Metropolis Cruise;0
SuperStar Aquarius;Star Cruises;0
SuperStar Gemini;Star Cruises;753
SuperStar Libra;Star Cruises;680
Symphony of the Seas;Royal Caribbean International;2100
Tere Moana;Paul Gauguin Cruises;55
Thalia;;41
The Calypso;Louis Cruises;0
The Emerald;Louis Cruises;412
The World;ResidenSea Corp.;250
Transilvania;;146
Trollfjord;Hurtigruten AS;170
Tropicale;Carnival Cruise Lines;550
Ultramarine;Coral Expeditions;0
Varna;;250
Vasco da Gama;Nicko Cruises;557
Ventura;P&O Cruises;1220
Veronica;;333
Vidanta Elegant;Vidanta Cruises;240
Viking Jupiter;Viking Ocean Cruises;0
Viking Octantis;Viking Expeditions Cruises;256
Viking Orion;Viking Ocean Cruises;0
Viking Polaris;Viking Expeditions Cruises;256
Viking Sea;Viking Ocean Cruises;0
